,gene_accession,Class,Phenotype,Mechanism of resistance,gene,accession
2646,tet(O/32/O)_3_NZ_AUJS01000017,Tetracycline,"Doxycycline, Tetracycline, Minocycline",Target protection,tet(O/32/O)_3,AUJS01000017
2647,tet(O/32/O)_4_AIOQ01000025,Tetracycline,"Doxycycline, Tetracycline, Minocycline",Target protection,tet(O/32/O)_4,AIOQ01000025
2648,tet(O/32/O)_5_FP929050,Tetracycline,"Doxycycline, Tetracycline, Minocycline",Target protection,tet(O/32/O)_5,FP929050
2649,tet(S/M)_1_HM367711,Tetracycline,"Doxycycline, Tetracycline, Minocycline",Target protection,tet(S/M)_1,HM367711
2650,tet(S/M)_2_AY534326,Tetracycline,"Doxycycline, Tetracycline, Minocycline",Target protection,tet(S/M)_2,AY534326
2651,tet(W/32/O)_1_AM710601,Tetracycline,"Doxycycline, Tetracycline, Minocycline",Target protection,tet(W/32/O)_1,AM710601
2652,tet(W/32/O)_2_AM710602,Tetracycline,"Doxycycline, Tetracycline, Minocycline",Target protection,tet(W/32/O)_2,AM710602
2653,tet(W/32/O)_3_AM710603,Tetracycline,"Doxycycline, Tetracycline, Minocycline",Target protection,tet(W/32/O)_3,AM710603
2654,tet(W/32/O)_4_AM710605,Tetracycline,"Doxycycline, Tetracycline, Minocycline",Target protection,tet(W/32/O)_4,AM710605
2655,tet(X6)_1_MN507533,Tettracycline,"Doxycycline, Tetracycline, Minocycline, Tigecycline",Enzymatic inactivation,tet(X6)_1,MN507533
2656,blaCARB-1_1_AF313471,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-1_1,AF313471
2657,blaCARB-2_1_M69058,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-2_1,M69058
2658,blaCARB-3_1_S46063,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-3_1,S46063
2659,blaCARB-4_1_U14749,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-4_1,U14749
2660,blaCARB-5_1_AF135373,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-5_1,AF135373
2661,blaCARB-6_1_AF030945,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-6_1,AF030945
2662,blaCARB-7_1_AF409092,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-7_1,AF409092
2663,blaCARB-8_1_AY178993,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-8_1,AY178993
2664,blaCARB-9_1_AY248038,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-9_1,AY248038
2665,blaCARB-10_1_EU850412,Beta-lactam,"Amoxicillin, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Piperacillin, Piperacillin+Tazobactam",NA,blaCARB-10_1,EU850412
2666,blaCARB-11_1_AY008290,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-11_1,AY008290
2667,blaCARB-12_1_D13210,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-12_1,D13210
2668,blaCARB-14_1_JQ364968,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-14_1,JQ364968
2669,blaCARB-16_1_HF953351,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-16_1,HF953351
2670,blaCARB-17_1_KJ934265,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-17_1,KJ934265
2671,blaCARB-18_1_KJ934266,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-18_1,KJ934266
2672,blaCARB-19_1_KJ934267,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-19_1,KJ934267
2673,blaCARB-20_1_NG_054946,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-20_1,54946
2674,blaCARB-21_1_NG_048724,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-21_1,48724
2675,blaCARB-22_1_JYNG01000059,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-22_1,JYNG01000059
2676,blaCARB-23_1_NG_048726,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-23_1,48726
2677,blaCARB-24_1_BK008907,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-24_1,BK008907
2678,blaCARB-25_1_BK008888,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-25_1,BK008888
2679,blaCARB-26_1_BK008904,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-26_1,BK008904
2680,blaCARB-27_1_NG_048730,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-27_1,48730
2681,blaCARB-28_1_BK008906,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-28_1,BK008906
2682,blaCARB-29_1_BK008905,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-29_1,BK008905
2683,blaCARB-30_1_NG_048734,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-30_1,48734
2684,blaCARB-31_1_NG_048735,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-31_1,48735
2685,blaCARB-32_1_NG_048736,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-32_1,48736
2686,blaCARB-33_1_BK008903,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-33_1,BK008903
2687,blaCARB-34_1_NG_048738,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-34_1,48738
2688,blaCARB-35_1_BK008900,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-35_1,BK008900
2689,blaCARB-36_1_LHBD01000022,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-36_1,LHBD01000022
2690,blaCARB-38_1_BK008898,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-38_1,BK008898
2691,blaCARB-40_1_BK008889,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-40_1,BK008889
2692,blaCARB-41_1_BK008890,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-41_1,BK008890
2693,blaCARB-42_1_NG_048745,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-42_1,48745
2694,blaCARB-43_1_NG_048746,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-43_1,48746
2695,blaCARB-44_1_JTGS01000066,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-44_1,JTGS01000066
2696,blaCARB-45_1_JTGR01000061,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-45_1,JTGR01000061
2697,blaCARB-46_1_NG_048749,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-46_1,48749
2698,blaCARB-47_1_NG050564,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-47_1,NG050564
2699,blaCARB-48_1_NG050604,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-48_1,NG050604
2700,blaCARB-49_1_KX599396,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-49_1,KX599396
2701,blaCARB-50_1_NG_052478,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",NA,blaCARB-50_1,52478
2702,blaFRI-1_1_KT192551,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefixime, Cefotaxime, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Aztreonam",NA,blaFRI-1_1,KT192551
2703,blaFRI-2_1_KX620467,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Ertapenem, Imipenem, Meropenem, Piperacillin, Aztreonam",NA,blaFRI-2_1,KX620467
2704,blaFRI-3_1_KY524440,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Aztreonam",NA,blaFRI-3_1,KY524440
2705,blaFRI-4_1_NG_055267,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Aztreonam",NA,blaFRI-4_1,55267
2706,blaFRI-5_1_MH208723,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Aztreonam",NA,blaFRI-5_1,MH208723
2707,fusB_1_AY373761,Steroid antibacterial,Fusidic acid,NA,fusB_1,AY373761
2708,fusB_2_JF777505,Steroid antibacterial,Fusidic acid,NA,fusB_2,JF777505
2709,fusC_1_KF527883,Steroid antibacterial,Fusidic acid,NA,fusC_1,KF527883
2710,mupA_1_X75439,Pseudomonic acid,Mupirocin,NA,mupA_1,X75439
2711,mupA_2_GU237136,Pseudomonic acid,Mupirocin,NA,mupA_2,GU237136
2712,mupB_1_JQ231224,Pseudomonic acid,Mupirocin,NA,mupB_1,JQ231224
2713,blaLAP-1_1_EF026092,Beta-lactam,"Amoxicillin, Ampicillin, Cephalotin, Piperacillin, Ticarcillin",Enzymatic inactivation,blaLAP-1_1,EF026092
2714,blaLAP-2_1_EU159120,Beta-lactam,"Amoxicillin, Ampicillin, Cephalotin, Piperacillin, Ticarcillin",Enzymatic inactivation,blaLAP-2_1,EU159120
2715,blaAER-1_1_U14748,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaAER-1_1,U14748
2716,blaBEL1_1_KF745070,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid",Enzymatic inactivation,blaBEL1_1,KF745070
2717,blaBEL2_1_FJ666063,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid",Enzymatic inactivation,blaBEL2_1,FJ666063
2718,blaBEL3_1_GQ202694,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid",Enzymatic inactivation,blaBEL3_1,GQ202694
2719,blaBEL4_1_KX388629,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid",Enzymatic inactivation,blaBEL4_1,KX388629
2720,blaBES-1_1_AF234999,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid",Enzymatic inactivation,blaBES-1_1,AF234999
2721,blaBIC-1_1_GQ260093,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Imipenem, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid",Enzymatic inactivation,blaBIC-1_1,GQ260093
2722,blaBKC_1_KP689347,Beta-lactam,"Amoxicillin, Ampicillin, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin",Enzymatic inactivation,blaBKC_1,KP689347
2723,blaGPA-1_1_AJ877225,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaGPA-1_1,AJ877225
2724,ARR-2_1_HQ141279,Rifampicin,Rifampicin,NA,ARR-2_1,HQ141279
2725,ARR-3_1_JF806499,Rifampicin,Rifampicin,NA,ARR-3_1,JF806499
2726,ARR-3_4_FM207631,Rifampicin,Rifampicin,NA,ARR-3_4,FM207631
2727,ARR-4_1_EF660562,Rifampicin,Rifampicin,NA,ARR-4_1,EF660562
2728,ARR-5_1_EF660563,Rifampicin,Rifampicin,NA,ARR-5_1,EF660563
2729,ARR-6_1_FM955585,Rifampicin,Rifampicin,NA,ARR-6_1,FM955585
2730,ARR-6_2_FM897214,Rifampicin,Rifampicin,NA,ARR-6_2,FM897214
2731,ARR-6_3_JF922883,Rifampicin,Rifampicin,NA,ARR-6_3,JF922883
2732,ARR-7_1_FN397623,Rifampicin,Rifampicin,NA,ARR-7_1,FN397623
2733,nimA_1_X71444,Nitroimidazole,Metronidazole,NA,nimA_1,X71444
2734,nimB_1_X71443,Nitroimidazole,Metronidazole,NA,nimB_1,X71443
2735,nimC_1_X76948,Nitroimidazole,Metronidazole,NA,nimC_1,X76948
2736,nimD_1_X76949,Nitroimidazole,Metronidazole,NA,nimD_1,X76949
2737,nimE_1_AJ244018,Nitroimidazole,Metronidazole,NA,nimE_1,AJ244018
2738,nimE_1_AM042593,Nitroimidazole,Metronidazole,NA,nimE_1,AM042593
2739,nimF_1_AJ515145,Nitroimidazole,Metronidazole,NA,nimF_1,AJ515145
2740,nimH_1_KX576455,Nitroimidazole,Metronidazole,NA,nimH_1,KX576455
2741,nimI_1_FJ940883,Nitroimidazole,Metronidazole,NA,nimI_1,FJ940883
2742,nimI_1_FJ940884,Nitroimidazole,Metronidazole,NA,nimI_1,FJ940884
2743,nimI_1_FJ940886,Nitroimidazole,Metronidazole,NA,nimI_1,FJ940886
2744,nimI_1_FJ940887,Nitroimidazole,Metronidazole,NA,nimI_1,FJ940887
2745,nimI_1_FJ940889,Nitroimidazole,Metronidazole,NA,nimI_1,FJ940889
2746,nimJ_1_NZ_JH815495,Nitroimidazole,Metronidazole,NA,nimJ_1,JH815495
2747,blaCMH-3_1_KX192165,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaCMH-3_1,KX192165
2748,blaSGM-7_1_NG050614,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaSGM-7_1,NG050614
2749,blaL_1_NG050597,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaL_1,NG050597
2750,blaL_2_NG050596,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaL_2,NG050596
2751,blaVHW-1_1_AF217648,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",Enzymatic inactivation,blaVHW-1_1,AF217648
2752,blaVHH-1_1_NG050334,Beta-lactam,"Ampicillin, Amoxicillin, Piperacillin",Enzymatic inactivation,blaVHH-1_1,NG050334
2753,blaTER-2_1_FJ263090,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaTER-2_1,FJ263090
2754,blaTER-1_1_FJ263091,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaTER-1_1,FJ263091
2755,blaSST-1_1_AB008455,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid",Enzymatic inactivation,blaSST-1_1,AB008455
2756,blaSRT-1_1_AB008454,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid",Enzymatic inactivation,blaSRT-1_1,AB008454
2757,blaSRT-2_1_AY524276,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid",Enzymatic inactivation,blaSRT-2_1,AY524276
2758,blaSPU-1_1_GQ919044,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaSPU-1_1,GQ919044
2759,blaSPG-1_1_KP109680,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaSPG-1_1,KP109680
2760,blaSGM-6_1_NG049988,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaSGM-6_1,NG049988
2761,blaSGM-5_1_NG049987,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaSGM-5_1,NG049987
2762,blaSGM-4_1_CP002798,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaSGM-4_1,CP002798
2763,blaSGM-2_1_AP010803,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaSGM-2_1,AP010803
2764,blaSGM-1_1_AAQG01000013,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaSGM-1_1,AAQG01000013
2765,blaSCO-1_1_EF063111,Beta-lactam,"Amoxicillin, Ampicillin, Piperacillin, Ticarcillin, Amoxicillin+Clavulanic acid, Ampicillin+Clavulanic acid, Piperacillin+Clavulanic acid, Ticarcillin+Clavulanic acid",Enzymatic inactivation,blaSCO-1_1,EF063111
2766,blaPLA-6A_1_DQ251478,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaPLA-6A_1,DQ251478
2767,blaPLA-3A_1_AY507663,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaPLA-3A_1,AY507663
2768,blaPLA-4A_1_AY507664,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaPLA-4A_1,AY507664
2769,blaPLA-5A_1_DQ249871,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaPLA-5A_1,DQ249871
2770,blaPLA2a_1_AY307385,Beta-lactam,"Ampicillin, Amoxicillin, Ticarcillin",Enzymatic inactivation,blaPLA2a_1,AY307385
2771,blaPLA1a_1_AY302757,Beta-lactam,"Ampicillin, Amoxicillin, Ticarcillin",Enzymatic inactivation,blaPLA1a_1,AY302757
2772,blaPEDO-3_1_KP109679,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaPEDO-3_1,KP109679
2773,blaPEDO-2_1_KP109678,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaPEDO-2_1,KP109678
2774,blaPEDO-1_1_KP109677,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaPEDO-1_1,KP109677
2775,blaOXA-493_1_CP007774,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-493_1,CP007774
2776,blaVCC-1_1_KT818596,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaVCC-1_1,KT818596
2777,blaPAM-1_1_AB858498,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaPAM-1_1,AB858498
2778,blaTMB-1_1_FR771847,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaTMB-1_1,FR771847
2779,blaTMB-2_1_AB758277,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaTMB-2_1,AB758277
2780,blaACC-4_1_GU256641,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid",Enzymatic inactivation,blaACC-4_1,GU256641
2781,blaACT-1_1_U58495,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid",Enzymatic inactivation,blaACT-1_1,U58495
2782,blaACT-2_1_AM076977,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid",Enzymatic inactivation,blaACT-2_1,AM076977
2783,blaACT-3_1_EF125013,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid",Enzymatic inactivation,blaACT-3_1,EF125013
2784,blaACT-4_2_AJ311172,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid",Enzymatic inactivation,blaACT-4_2,AJ311172
2785,blaACT-5_1_FJ237369,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid",Enzymatic inactivation,blaACT-5_1,FJ237369
2786,blaACT-6_1_FJ237366,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid",Enzymatic inactivation,blaACT-6_1,FJ237366
2787,blaACT-7_1_FJ237368,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid",Enzymatic inactivation,blaACT-7_1,FJ237368
2788,blaACT-9_1_HQ693810,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid",Enzymatic inactivation,blaACT-9_1,HQ693810
2789,blaACT-10_1_JN848330,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid",Enzymatic inactivation,blaACT-10_1,JN848330
2790,blaACT-12_1_JX440355,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid",Enzymatic inactivation,blaACT-12_1,JX440355
2791,blaACT-14_1_JX440354,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid",Enzymatic inactivation,blaACT-14_1,JX440354
2792,blaACT-15_1_JX440356,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid",Enzymatic inactivation,blaACT-15_1,JX440356
2793,blaACT-16_1_AB737978,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid",Enzymatic inactivation,blaACT-16_1,AB737978
2794,blaBEL-1_1_DQ089809,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid",Enzymatic inactivation,blaBEL-1_1,DQ089809
2795,blaBEL-2_1_FJ666063,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid",Enzymatic inactivation,blaBEL-2_1,FJ666063
2796,blaBEL-3_1_GQ202694,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid",Enzymatic inactivation,blaBEL-3_1,GQ202694
2797,cepA_1_L13472,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,cepA_1,L13472
2798,cepA_1_U05887,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,cepA_1,U05887
